fid,profile_id,section_id,orientation,notes,distance,angle
1,P02_LONG,C-C',longitudinal,Main ridge profile,0,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,0.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,1.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,2.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,2.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,2.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,2.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,2.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,2.6,212.351971855461
