layer,distance,elevation
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,2.08183175581096,nan
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,2.51582191626171,nan
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,3.4153466308142,7.76000022888184
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,4.31487134735912,7.71380567550659
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,4.74886150780986,7.69092082977295
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,5.64838622236235,7.66785860061646
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,6.54791093691485,7.65415143966675
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,6.98190109736559,7.71241855621338
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,7.88142581191808,7.99541425704956
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,8.78095052647058,8.37073707580566
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,9.68047524102307,8.98847961425781
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,10.1144654014738,8.95983219146729
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,11.0139901160263,9.45477104187012
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,11.9135148305788,10.0240030288696
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,12.3475049910295,10.1500577926636
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,13.247029705582,10.6968774795532
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,14.1465544201345,11.3314933776855
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,14.5805445805853,11.1110982894897
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,15.4800692951378,11.8300371170044
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,16.3795940096903,12.3399343490601
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,16.813584170141,12.3229179382324
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,17.7131088846935,13.0758085250854
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,18.612633599246,13.4700622558594
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,19.0466237596967,13.6009979248047
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,19.9461484742492,14.0242490768433
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,20.8456731888017,14.0414056777954
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,21.2796633492525,14.4760665893555
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,22.179188063805,14.5513648986816
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,23.0787127783574,14.7864294052124
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,23.5127029388082,15.0144491195679
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,24.4122276533607,15.2914047241211
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,25.3117523679132,15.4381837844849
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,25.7457425283639,16.0517749786377
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,26.6452672429164,16.1387748718262
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,27.5447919574689,16.3608150482178
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,27.9787821179196,16.8859329223633
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,28.8783068324721,17.1837387084961
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,29.7778315470246,17.4160594940186
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,30.2118217074754,17.7606239318848
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,31.1113464220279,18.0190582275391
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,32.0108711365804,18.3676986694336
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,32.4448612970311,18.7492637634277
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,33.3443860115836,19.029670715332
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,34.2439107261361,19.173547744751
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,34.6779008865868,19.9219360351562
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,35.5774256011393,19.9806728363037
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,36.4769503156918,20.2562389373779
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,36.9109404761426,20.7514343261719
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,37.8104651906951,21.0698356628418
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,38.7099899052476,21.3711414337158
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,39.6095146198,21.6204452514648
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,40.0435047802508,21.9378433227539
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,40.9430294948033,22.2191925048828
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,41.8425542093558,22.5793895721436
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,42.2765443698065,22.9189224243164
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,43.176069084359,23.2020854949951
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,44.0755937989115,23.5821723937988
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,44.5095839593622,24.1229381561279
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,45.4091086739147,24.3928298950195
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,46.3086333884672,24.6762790679932
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,46.742623548918,25.3019714355469
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,47.6421482634705,25.4993915557861
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,48.541672978023,25.9046669006348
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,48.9756631384737,26.3412475585938
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,49.8751878530262,26.7397975921631
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,50.7747125675787,27.1192378997803
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,51.2087027280294,27.386833190918
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,52.1082274425819,27.682201385498
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,53.0077521571344,28.0164890289307
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,53.4417423175852,28.5163860321045
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,54.3412670321377,28.7988166809082
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,55.2407917466902,29.0939064025879
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,55.6747819071409,29.5877246856689
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,56.5743066216934,29.9520950317383
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,57.4738313362459,30.1860275268555
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,57.9078214966966,30.6692581176758
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,58.8073462112491,31.0239486694336
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,59.7068709258016,31.2018032073975
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,60.1408610862524,31.3562927246094
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,61.0403858008048,31.5462589263916
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,61.9399105153573,31.815408706665
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,62.3739006758081,31.6392955780029
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,63.2734253903606,32.0259132385254
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,64.1729501049131,32.6153144836426
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,64.6069402653638,32.706974029541
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,65.5064649799163,33.4653396606445
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,66.4059896944688,34.131404876709
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,66.8399798549195,34.0654258728027
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,67.739504569472,34.4308853149414
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,68.6390292840245,34.9906768798828
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,69.538553998577,35.4610176086426
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,69.9725441590278,35.3244781494141
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,70.8720688735802,35.6866798400879
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,71.7715935881328,35.9043884277344
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,72.2055837485835,35.9026107788086
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,73.105108463136,36.2220191955566
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,74.0046331776885,36.4274673461914
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,74.4386233381392,37.1762199401855
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,75.3381480546842,37.3885917663574
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,76.2376727692366,37.2741775512695
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,76.6716629296874,38.1728897094727
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,77.5711876442399,38.1661796569824
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,78.4707123587924,37.8623390197754
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,78.9047025192431,38.2137031555176
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,79.8042272337956,37.9033012390137
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,80.7037519483481,37.4866371154785
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,81.1377421087988,37.740779876709
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,82.0372668233513,37.121898651123
